# Electric potential slice
# Axis: z at index 20
# x(m)	y(m)	V(volts)
-0.025	0	0.25
-0.025	0.025	0.25
-0.025	0.05	0.25
-0.025	0.075	0.25
-0.025	0.1	0.166206
-0.025	0.125	0.128006
-0.025	0.15	0.10953
-0.025	0.175	0.103601
-0.025	0.2	0.110626
-0.025	0.225	0.137129
-0.025	0.25	0.187288
-0.025	0.275	0.123338
-0.025	0.3	0.0820571
-0.025	0.325	0.0580142
-0.025	0.35	0.0427054
-0.025	0.375	0.0318894
-0.025	0.4	0.0235613
-0.025	0.425	0.0166977
-0.025	0.45	0.0107157
-0.025	0.475	0.00524126
-0.025	0.5	0

0	-0.5	0
0	-0.475	-0.00047332
0	-0.45	-0.00111115
0	-0.425	-0.00212652
0	-0.4	-0.00385751
0	-0.375	-0.00693028
0	-0.35	-0.0126875
0	-0.325	-0.024557
0	-0.3	-0.0533707
0	-0.275	-0.142135
0	-0.25	-0.5
0	-0.225	-0.125999
0	-0.2	-0.0196613
0	-0.175	0.0302365
0	-0.15	0.0709638
0	-0.125	0.125924
0	-0.1	0.25
0	-0.075	0.25
0	-0.05	0.25
0	-0.025	0.25
0	0	0.25
0	0.025	0.25
0	0.05	0.25
0	0.075	0.25
0	0.1	0.169477
0	0.125	0.13174
0	0.15	0.11354
0	0.175	0.109458
0	0.2	0.125299
0	0.225	0.196193
0	0.25	0.5
0	0.275	0.181932
0	0.3	0.0957631
0	0.325	0.0623492
0	0.35	0.0445743
0	0.375	0.0328995
0	0.4	0.0241772
0	0.425	0.0170864
0	0.45	0.0109485
0	0.475	0.00535098
0	0.5	0

0.025	-0.5	0
0.025	-0.475	-0.00038358
0.025	-0.45	-0.000917875
0.025	-0.425	-0.00179509
0.025	-0.4	-0.00331082
0.025	-0.375	-0.00598216
0.025	-0.35	-0.0108075
0.025	-0.325	-0.0198827
0.025	-0.3	-0.0378448
0.025	-0.275	-0.0742035
0.025	-0.25	-0.134681
0.025	-0.225	-0.0581246
0.025	-0.2	-0.00438243
0.025	-0.175	0.0340073
0.025	-0.15	0.0694893
0.025	-0.125	0.112404
0.025	-0.1	0.174846
0.025	-0.075	0.25
0.025	-0.05	0.25
0.025	-0.025	0.25
0.025	0	0.25
0.025	0.025	0.25
0.025	0.05	0.25
0.025	0.075	0.25
0.025	0.1	0.168134
0.025	0.125	0.130502
0.025	0.15	0.112055
0.025	0.175	0.10594
0.025	0.2	0.1127
0.025	0.225	0.13892
0.025	0.25	0.188809
0.025	0.275	0.124612
0.025	0.3	0.0831124
0.025	0.325	0.0588776
0.025	0.35	0.0434012
0.025	0.375	0.0324384
0.025	0.4	0.0239807
0.025	0.425	0.0170008
0.025	0.45	0.0109125
0.025	0.475	0.00533802
0.025	0.5	0

0.05	-0.5	0
0.05	-0.475	-0.000221239
0.05	-0.45	-0.000560228
0.05	-0.425	-0.00116101
0.05	-0.4	-0.00222836
0.05	-0.375	-0.00407967
0.05	-0.35	-0.00722361
0.05	-0.325	-0.0124511
0.05	-0.3	-0.0207727
0.05	-0.275	-0.0323132
0.05	-0.25	-0.0406221
0.05	-0.225	-0.0168199
0.05	-0.2	0.0112681
0.05	-0.175	0.0385055
0.05	-0.15	0.0670132
0.05	-0.125	0.101484
0.05	-0.1	0.151556
0.05	-0.075	0.25
0.05	-0.05	0.25
